Students	50
1	9 14 11 10
2	13 1 5 2
3	5 6 14 4
4	11 3 4 9
5	9 13 7 14
6	3 9 8 2
7	7 1 8 10
8	13 9 12 3
9	9 5 10 2
10	5 2 3 13
11	2 9 13 10
12	3 13 8 14
13	2 1 9 14
14	14 12 11 13
15	9 1 4 14
16	6 13 1 12
17	3 8 4 6
18	5 6 3 2
19	12 11 5 14
20	14 1 9 5
21	2 9 5 8
22	3 10 5 8
23	6 14 8 11
24	9 14 5 12
25	12 1 8 10
26	8 13 1 3
27	7 14 12 10
28	7 5 1 9
29	9 4 14 11
30	13 1 11 12
31	12 4 1 9
32	6 12 14 8
33	12 11 14 3
34	3 9 8 5
35	14 5 4 11
36	11 4 14 2
37	1 12 5 9
38	4 7 2 9
39	6 9 13 4
40	10 7 4 8
41	11 13 5 3
42	14 3 6 12
43	6 2 4 8
44	7 2 5 4
45	3 14 1 6
46	5 13 4 14
47	6 5 2 14
48	6 9 11 12
49	6 4 14 13
50	12 4 2 11
Students	1400
1	117 242 1 199
2	60 364 332 362
3	328 36 124 276
4	354 276 240 224
5	139 347 223 52
6	2 320 336 218
7	45 114 120 211
8	276 54 153 82
9	192 139 248 75
10	303 183 157 323
11	62 15 359 181
12	84 292 75 160
13	84 333 110 233
14	48 108 177 14
15	282 380 134 84
16	305 83 301 141
17	143 105 269 211
18	330 361 399 203
19	330 209 244 303
20	331 127 102 74
21	349 336 104 237
22	222 6 279 170
23	267 258 92 251
24	199 181 226 328
25	382 115 144 61
26	277 166 130 299
27	255 61 128 393
28	178 396 6 39
29	252 308 155 167
30	228 113 92 85
31	166 264 151 317
32	275 46 108 226
33	363 302 215 250
34	55 148 342 20
35	232 58 83 280
36	282 80 51 239
37	343 199 61 36
38	97 145 336 104
39	328 8 322 205
40	287 397 137 333
41	106 376 41 56
42	362 315 153 202
43	384 253 66 163
44	66 316 38 271
45	52 352 77 130
46	59 342 360 130
47	184 142 95 274
48	397 222 91 390
49	213 102 187 197
50	67 333 134 50
51	168 127 239 67
52	93 315 222 342
53	324 268 38 242
54	135 13 28 361
55	30 76 191 259
56	175 159 372 315
57	364 301 247 287
58	67 345 293 103
59	264 69 272 47
60	108 371 192 148
61	240 233 62 113
62	304 202 399 130
63	67 74 139 216
64	249 71 242 54
65	295 258 284 216
66	279 317 205 309
67	394 348 100 254
68	207 171 329 88
69	371 222 161 352
70	128 114 368 112
71	310 268 277 84
72	56 125 179 191
73	152 3 239 267
74	348 121 4 306
75	235 17 78 48
76	194 290 121 369
77	34 225 83 61
78	41 327 129 324
79	167 15 122 48
80	177 110 353 235
81	253 63 272 168
82	135 185 318 27
83	285 320 66 81
84	131 80 259 85
85	123 208 155 218
86	24 33 92 238
87	199 290 303 71
88	66 293 180 120
89	106 340 185 150
90	202 218 268 153
91	54 128 353 234
92	94 137 84 190
93	369 167 127 256
94	350 304 8 222
95	371 15 130 86
96	281 140 133 87
97	356 394 134 108
98	49 55 170 394
99	13 223 316 129
100	330 214 141 20
101	76 204 58 168
102	365 114 118 169
103	145 199 250 219
104	310 16 353 253
105	111 21 270 307
106	26 367 207 336
107	222 229 118 212
108	8 124 32 151
109	335 59 355 144
110	308 88 347 1
111	90 241 250 344
112	118 309 353 55
113	173 188 381 271
114	244 358 150 204
115	352 398 221 5
116	173 94 9 203
117	107 43 135 152
118	2 15 155 69
119	284 5 266 330
120	273 368 178 146
121	118 391 388 200
122	212 61 60 299
123	271 245 173 220
124	222 123 369 143
125	158 380 60 216
126	49 377 385 120
127	305 187 201 92
128	277 98 384 295
129	206 68 31 157
130	150 167 270 263
131	327 325 211 183
132	266 400 136 54
133	384 154 86 106
134	137 48 184 275
135	334 389 157 326
136	301 82 388 29
137	64 88 349 1
138	246 231 60 144
139	267 286 346 195
