Students	30000
1	1689 3345 227 93
2	1885 1538 4858 4210
3	161 1777 3352 1058
4	226 1274 1088 3935
5	2878 3734 4722 3794
6	2148 3952 1028 4544
7	3503 3366 469 2425
8	3407 4095 1981 2418
9	1110 4020 2169 1113
10	4792 3283 1384 4788
11	3244 940 4921 1669
12	3654 4374 788 4569
13	3002 1971 165 4230
14	3757 4717 1498 404
15	242 4154 3244 4000
16	376 3951 1 4607
17	3493 389 1376 2506
18	275 3128 1438 2443
19	4409 2465 3541 4225
20	384 1199 2136 1561
21	864 4621 4747 3963
22	4501 2587 2691 243
23	2896 450 3303 1829
24	4352 462 1129 2539
25	2748 413 1013 1227
26	4662 4567 1469 2288
27	1214 2441 2629 822
28	1683 4907 1385 1484
29	2317 4096 2556 4080
30	802 3378 3735 1441
31	2128 1565 3520 4583
32	1435 4488 437 2735
33	172 3307 3856 1991
34	1387 3616 3545 1967
35	3465 4522 2131 2237
36	3268 1896 2412 4947
37	3657 2739 71 1256
38	2363 672 2505 2064
39	2184 4728 2115 4288
40	3544 683 771 2206
41	1581 627 2503 2636
42	4432 1559 4469 1821
43	3318 2643 3469 1527
44	3051 947 25 385
45	3610 2947 985 1605
46	620 4630 767 2806
47	3670 3398 2523 2474
48	3988 4261 2386 3070
49	4779 3557 4440 4599
50	2424 2941 2574 1722
51	1349 3059 4958 843
52	160 733 1561 2626
53	1906 4740 2148 891
54	4095 2306 3244 1828
55	3535 1141 7 796
56	555 2383 2139 3202
57	4857 3885 4478 974
58	862 1331 4685 2054
59	1072 3193 230 3982
60	2721 3217 4291 3756
61	1930 3268 3117 3574
62	3137 1959 3113 17
63	4756 3583 2504 3623
64	3625 2686 4727 419
65	4824 1164 2050 4682
66	6 317 769 1367
67	4425 4803 2133 2146
68	1920 424 1122 3749
69	4954 3758 1826 3217
70	1565 3880 1421 4155
71	3235 916 3209 108
72	1794 1427 3477 2705
73	4072 3575 871 4229
74	892 2275 3750 3182
75	703 3967 4627 436
76	4826 2091 2101 3404
77	3460 1410 3864 1728
78	2704 214 2930 490
79	4407 3483 2401 3218
80	2525 3762 3194 1968
81	2167 4973 3463 4566
82	2011 2381 2006 4463
83	1450 383 162 2560
84	3485 1704 4220 2050
85	1032 3725 2870 4957
86	2307 1287 887 1222
87	2042 2921 1003 3253
88	315 3660 2545 3827
89	482 629 3042 546
90	4111 378 2042 3243
91	3818 3485 46 1269
92	2790 3402 2022 2548
93	1343 2782 4536 2139
94	885 944 3226 1408
95	1767 1373 3386 3322
96	4883 934 3509 945
97	4152 4161 270 476
98	665 2599 3831 2915
99	4865 2874 305 2014
100	4612 2267 1505 1071
101	3712 4949 1730 1684
102	2920 3381 2680 3756
103	1790 1267 1902 4304
104	1877 2908 371 2388
105	1868 3159 2367 2273
106	1468 1744 1345 680
107	4327 572 526 2323
108	705 494 4836 4169
109	2755 544 3229 818
110	480 3989 3340 3855
111	3328 3164 667 1771
112	3598 3214 762 1525
113	999 998 2087 4707
114	1885 1909 746 2658
115	3338 2584 3192 4407
116	1880 1938 3349 628
117	4607 931 3564 1565
118	3723 1695 1121 3290
119	3250 4162 1074 2393
120	2251 214 1261 4955
121	547 2343 4062 1256
122	242 1371 3763 3155
123	1608 2280 1004 3480
124	949 2536 1363 600
125	2234 558 1480 581
126	801 313 665 3189
127	1416 4383 1544 2309
128	3207 2551 38 4984
129	4436 4850 1006 4046
130	865 624 3743 595
131	562 3095 4690 4310
132	1934 4113 3285 4531
133	2321 1438 4507 339
134	4657 1397 1166 662
135	234 4011 4022 4975
136	786 4335 4052 3119
137	2633 4553 2275 392
138	257 3172 1875 2611
139	4928 3045 3804 3489
140	3057 4067 1523 4370
141	1250 2576 2152 4153
142	4209 1094 3619 666
143	3918 3403 4704 983
144	4069 2446 3300 2112
145	2594 2444 2308 4446
146	3924 1578 1092 2790
147	295 3554 3012 4922
148	983 3431 2700 4557
149	2649 1824 192 2558
150	2441 3507 2001 767
151	4952 3770 1508 2351
152	212 3483 4616 4031
153	3554 4745 1412 1424
154	1345 1255 150 1589
155	4111 108 1371 1047
156	3849 811 4657 306
157	4035 2694 3589 3533
158	3882 3058 870 1320
159	267 915 778 3787
160	2800 2822 2517 1867
161	1138 4372 1423 1950
162	1588 4529 378 3900
163	2656 2212 2086 2271
164	548 4710 1778 666
165	27 3599 519 4071
166	3974 3355 1896 3557
167	4618 4548 732 3428
168	2703 3321 4612 2182
169	4811 1088 3724 3987
170	2065 2441 2610 787
171	1457 178 267 2130
172	3795 1725 1092 3869
173	4655 2045 6 601
174	2850 66 1811 3084
175	3672 659 4142 548
176	3960 1141 4045 1283
177	658 2851 2131 4864
178	2939 1808 1786 2869
179	1669 1214 1166 673
180	4455 3127 1693 2470
181	234 1256 678 756
182	988 294 4296 1292
183	4306 4461 2758 2740
184	2184 1204 1500 2437
185	1992 850 3138 909
186	4669 42 1736 2877
187	4910 2346 1406 3568
188	4643 2313 4957 756
189	338 1747 3135 3983
190	4272 954 3281 2171
191	4602 1400 965 71
192	2981 4773 4255 1624
193	305 734 1027 2175
194	1203 216 2634 4862
195	4055 2640 698 4432
196	2089 647 3052 1957
197	4340 336 3420 3509
198	949 3663 178 2043
199	1059 3732 1188 3711
200	2894 1671 4785 4315
201	4035 2532 342 4759
202	1314 3887 3633 2568
203	2482 2253 1544 2878
204	3285 4172 3257 2737
205	1046 4096 122 2153
206	2965 3619 2541 4697
207	511 159 3517 1531
208	359 4615 1416 798
209	2681 1767 3225 3230
210	586 4174 3167 4459
211	4280 794 4434 796
212	2886 3704 581 2460
213	3905 1752 2573 4480
214	4215 4999 1644 4440
215	4243 1045 2093 3176
216	4193 3192 3530 2524
217	3739 4253 4116 643
218	1533 1591 4440 2917
219	2913 2501 1021 4341
220	1887 805 1182 4758
221	302 15 2672 2805
222	3177 351 1495 4556
223	1826 1686 715 2112
224	2085 4956 3822 2007
225	4976 2097 4316 3657
226	4373 126 3585 87
227	842 743 2796 4159
228	2078 2134 4079 3871
229	2435 2361 2816 4553
230	2438 1496 1769 3674
231	2152 1150 190 2144
232	1622 1157 106 3741
233	4530 3379 3915 251
234	945 1085 2993 2895
235	2599 4322 2744 1329
236	4253 4676 3680 3280
237	2267 2749 2445 3452
238	2623 4427 2168 2550
239	4176 4189 4927 903
240	1327 4599 4173 3661
241	1353 3032 3579 2534
242	4264 2182 2333 4714
243	3823 3111 2491 1521
244	2699 4352 599 4119
245	3074 1784 701 2088
246	3213 721 706 3751
247	4870 3710 1262 2815
248	4215 2123 199 4643
249	3471 2412 3704 2157
250	1228 4387 4731 1200
251	3754 490 2435 4889
252	3452 510 3274 877
253	60 2815 2700 3294
254	2759 2945 3425 1761
255	1874 1315 25 4034
256	1372 4227 205 529
257	1590 52 3435 818
258	964 4024 637 2784
259	3678 114 2373 4182
260	3822 3786 2896 1882
261	2563 480 1919 2902
262	989 1573 3028 987
263	3370 3408 844 1850
264	3054 4304 4066 1195
265	524 1120 2041 3368
266	1327 2628 1862 1320
267	3835 4487 111 3570
268	688 4855 4125 2076
269	339 4192 1192 1325
270	311 908 3947 4179
271	2647 370 686 1072
272	4802 21 1571 1150
273	963 3060 161 1014
274	1028 2051 3291 3405
275	1280 2856 561 706
276	62 1555 4120 564
277	1433 4062 4824 1506
278	4213 1497 1329 3764
279	4879 1297 4142 4882
280	1081 4316 4036 4175
281	4066 4925 3407 2119
282	4926 2325 4774 2846
283	1205 920 2831 4500
284	424 1887 2356 460
285	4123 1770 4316 694
286	53 1565 1453 3579
287	3617 1805 2941 2660
288	3935 3530 2967 1489
289	1390 2902 838 3098
290	4947 4780 690 4793
291	4213 4861 2800 1121
292	2322 401 3756 3509
293	457 3873 203 3589
294	3743 4943 1073 3529
295	4476 2405 2214 2287
296	4161 169 3270 961
297	2649 4532 791 1920
298	4161 2909 4692 4036
299	2056 2183 3681 718
300	1751 459 2613 2003
301	3866 51 2505 4315
302	3836 2999 3178 4643
303	3537 4939 983 4412
304	2506 2787 3517 4845
305	3811 4117 1572 1692
306	1493 3496 2119 4954
307	4319 1872 2075 2370
308	4789 4871 4817 472
309	3355 3805 2294 4756
310	2495 3080 1692 2046
311	2954 4586 4398 1200
312	3384 510 761 3562
313	3014 1817 4523 1858
314	4586 493 2593 630
315	3576 1373 2013 4751
316	1014 2417 886 4672
317	1786 3086 1871 1729
318	866 956 2590 3340
319	1268 4935 211 2049
320	3604 4678 2400 3007
321	1831 3947 1939 4483
322	3306 4150 287 3624
323	1489 2882 4480 22
324	3182 2745 2288 343
325	736 3371 1060 511
326	1345 4760 3938 4895
327	925 3621 1983 3779
328	3630 120 2593 2900
329	4352 1957 2357 3142
330	1389 2902 4368 910
331	3371 1456 4937 3445
332	681 2147 3577 4268
333	4438 680 2108 2211
334	4233 2942 2368 3551
335	510 1031 1537 2796
336	3853 3561 728 3663
337	1607 2602 703 1901
338	3738 509 2117 462
339	3707 2434 1325 1219
340	4249 2717 2816 108
341	306 2028 708 2492
342	1291 3724 3474 1226
343	4175 4575 3141 1726
344	3381 1651 4442 4342
345	3819 1816 805 1901
346	1859 946 2228 2017
347	128 682 58 4042
348	4465 2384 2814 1524
349	3539 832 628 4135
350	3688 3554 3627 4942
351	787 1019 1937 3021
352	3852 1132 4682 4055
353	2985 4761 2768 3037
354	4943 3556 776 4482
355	3346 4151 2507 3886
356	1512 3328 653 80
357	3312 4745 4458 959
358	1845 2070 730 4755
359	272 4394 4103 2047
360	771 3624 334 4482
361	3297 4580 2717 3233
362	4098 944 2369 2513
363	541 4250 4468 1511
364	3700 1270 3021 444
365	3043 3437 2966 580
366	4671 1066 1386 2095
367	4676 1964 1253 2128
368	4854 2546 4884 887
369	1887 2334 2391 2820
370	2217 2139 3967 4746
371	4711 534 1121 2182
372	2269 3145 4849 358
373	2247 3825 568 3526
374	696 4961 1998 1021
375	1424 763 1582 4077
376	905 4668 2648 4175
377	2408 637 1117 1502
378	1994 3497 3884 1194
379	2474 2219 4979 2126
380	4956 654 3737 2905
381	2468 228 4417 1193
382	3594 271 1297 4880
383	1290 2194 241 2695
384	1704 3784 2035 1485
385	3949 3473 2633 435
386	4589 4870 3461 2300
387	2831 3997 4323 3203
388	835 2191 2696 3555
389	4797 1979 4597 151
390	4607 1589 1784 883
391	3580 2203 1456 2740
392	4415 4020 3374 2818
393	2775 4715 4285 1886
394	1429 3515 3920 2153
395	4383 3681 4622 3297
396	3920 654 3679 4497
397	1469 971 2937 299
398	4361 1564 2615 83
399	1007 4515 4879 1871
400	2022 270 3787 1199
401	4409 2827 1075 4002
402	1662 3274 887 3364
403	3507 4160 448 4939
404	3045 4628 4417 3760
405	4042 1644 2934 4365
406	1572 2386 1399 273
407	1792 4430 3688 3067
408	2269 3259 1613 3880
409	3536 4263 2089 3174
410	2748 1490 4095 1097
411	986 2169 376 4645
412	509 457 1060 1617
413	663 917 3290 1259
414	1154 1279 2426 4282
415	1454 698 1913 4013
416	1639 1739 2880 2065
417	4247 3053 1771 1493
418	1703 1191 4764 3769
419	4602 1386 2370 477
420	1995 2685 4110 1767
421	4908 557 2563 764
422	4216 2486 3819 1195
423	1821 2950 3508 965
424	1832 4308 2334 1688
425	3107 4085 3570 1815
426	4478 1020 3152 2905
427	179 2326 2164 334
428	250 380 161 4817
429	3709 4494 2435 2084
430	2457 3277 1115 2971
431	4737 2202 661 4582
432	1280 3359 1515 2709
433	2567 2574 3454 2909
434	988 423 3789 4649
435	3587 1574 2122 3455
