Class Times	69
1	 9:10 AM 10:00 AM MWF
2	 9:55 AM 12:45 PM TH
3	11:10 AM 12:00 PM MWF
4	 9:10 AM 12:30 PM T
5	10:10 AM 11:00 AM MWF
6	 1:10 PM  4:30 PM M
7	 2:25 PM  3:45 PM TTH
8	 1:10 PM  2:30 PM MW
9	 2:40 PM  4:00 PM MW
10	11:40 AM  1:00 PM MW
11	 9:55 AM 11:15 AM TTH
12	12:55 PM  2:15 PM TTH
13	 2:10 PM  4:00 PM T
14	 1:10 PM  4:00 PM M
15	 2:10 PM  4:00 PM M
16	 2:10 PM  4:00 PM F
17	 2:10 PM  4:00 PM W
18	11:25 AM 12:45 PM TTH
19	 7:10 PM 10:00 PM M
20	 1:10 PM  4:00 PM TH
21	 1:10 PM  4:00 PM T
22	10:10 AM 11:30 AM MW
23	10:10 AM  1:00 PM F
24	 8:25 AM  9:45 AM TTH
25	 1:10 PM  2:30 PM W
26	12:10 PM  1:00 PM MWF
27	 1:10 PM  2:30 PM M
28	 1:10 PM  3:30 PM F
29	 1:10 PM  4:00 PM F
30	 2:10 PM  4:00 PM TH
31	 1:10 PM  3:30 PM W
32	 7:10 PM  9:00 PM M
33	 7:10 PM 10:00 PM T
34	 1:10 PM  4:00 PM W
35	 7:10 PM  9:00 PM MW
36	 1:10 PM  4:30 PM TH
37	 1:10 PM  2:00 PM MW
38	 2:10 PM  5:30 PM T
39	12:10 PM  2:00 PM M
40	 1:10 PM  3:30 PM TH
41	 2:40 PM  4:00 PM W
42	 1:40 PM  4:30 PM T
43	 1:10 PM  4:30 PM W
44	 1:10 PM  2:00 PM M
45	 1:10 PM  2:00 PM MWF
46	 1:10 PM  2:00 PM W
47	 1:10 PM  2:00 PM T
48	 1:10 PM  2:00 PM TH
49	10:00 AM 10:50 AM MWF
50	 7:10 PM  9:30 PM M
51	 5:10 PM  6:00 PM W
52	 6:10 PM  7:00 PM TH
53	12:10 PM  1:10 PM MW
54	 7:10 PM  9:00 PM T
55	 4:10 PM  5:30 PM TTH
56	12:10 PM  4:00 PM MW
57	 7:10 PM  8:00 PM W
58	 4:10 PM  5:30 PM MW
59	12:10 PM  2:00 PM W
60	 2:30 PM  4:30 PM W
61	12:10 PM  2:00 PM F
62	 1:40 PM  3:30 PM TH
63	12:10 PM  2:00 PM T
64	12:10 PM  1:00 PM MW
65	 5:10 PM  6:00 PM TTH
66	11:10 AM 12:00 PM MW
67	 6:15 PM  7:45 PM TTH
68	 5:40 PM  8:00 PM M
69	 7:45 PM  9:15 PM TTH
Rooms	69
DAL300	29
PK278	78
PK259	19
TH102	12
CAN205	7
TH104	28
TH224	45
DAL212A	19
PK179	44
EHIII	15
DAL212E	9
BYC239	14
PK338	65
BYC106	35
BYC100	9
BYC127	31
DAL25	24
RCSEM	12
PK336	19
PK337	15
PK154	7
TAYB	13
PEMSTD	6
TH223	10
PK25	81
CARP25	18
PK20	152
CARP21	55
PK243	59
PK227	11
PK247	7
DAL315	5
ROSTUD	8
TAYF	40
TAYG	34
TAYD	29
TAYE	31
PK264	11
PK229	22
TAYC	16
GOHEP	17
TH116	19
TH129	6
TH111	28
TH110	58
EHII	18
RCCON	13
GOB	28
DAL119	50
PK180	78
PK200	3
TH118	9
CARP17	12
PK328	6
CARP15	14
CARP13	7
DAL10	11
DEDANCE	4
EHI	19
PK126	24
EHLEC	18
GOCOM	6
PK354	15
DAL6	14
DAL1	21
DAL2	20
TAYSEM	17
PK100	19
PK349	50
Classes	307
Teachers	168
011321	0028980	
003465	0599596	
013185	3420576	
013184	3198619	
013183	3198619	
003460	3393009	
006542	0138190	
002992	4358918	
017120	0806046	
017122	4392595	
002571	0564741	
017127	1020104	
017126	4354081	
016926	4172051	
001755	3927849	
002671	0847593	
013342	0493725	
016923	0402773	
016879	3443571	
002374	0492580	
002164	0180723	
002163	0168378	
002373	0901151	
002161	3926209	
017124	3448653	
006035	0409737	
005295	4392595	
012353	0683480	
012352	4466695	
012355	4089714	
012354	0031756	
003007	3473854	
003275	0695890	
005741	4362771	
003270	0492451	
003002	0492580	
016894	3926311	
001899	3899727	
007051	0031336	
007381	0031611	
004293	0802802	
001752	3896859	
003034	3473854	
003008	3473854	
012320	3995790	
007368	4354081	
013647	0492580	
003454	3092941	
016832	3995790	
001837	3452118	
002562	1168490	
002567	4177047	
015135	3899727	
014099	0409956	
005846	3479968	
001562	0031756	
002368	0697660	
006060	0409737	
006874	3646602	
002686	0138190	
007882	3435819	
006041	3818520	
003493	0138190	
001010	3402041	
007396	0162977	
005161	0031582	
004275	0949010	
016844	0031572	
013155	3198619	
004276	1165566	
001152	4354559	
010944	3083296	
007398	0851717	
004379	0847593	
008764	4362871	
016885	3479968	
014114	0827051	
001758	3460008	
016886	0058557	
006034	0213446	
007028	0316015	
009232	4354604	
006860	3461209	
005853	0031582	
004816	0321808	
004874	3436165	
005263	0493855	
017172	4464860	
015417	3194197	
004010	4089710	
006565	0031399	
004012	3197197	
007375	0820103	
016985	1024995	
003441	0897706	
004016	3460456	
001242	4354604	
015248	4172060	
011238	4354084	
005120	4273391	
007407	0031631	
015243	0031631	
001249	0254151	
016445	3194193	
007403	0031611	
004807	0672202	
004066	1167978	
004360	0847593	
009299	0321808	
003014	3332662	
015014	0031756	
006868	0750235	
005258	4170165	
017116	0851717	
017117	0826176	
011322	0028980	
004740	3764403	
009225	0022277	
008469	3420576	
001158	1020104	
017118	4170165	
007878	0031386	
015013	0827051	
015010	0431946	
001427	0901151	
015016	3764403	
015015	0031756	
001424	0020093	
015655	0129398	
016440	4392595	
004809	3194193	
016614	4170946	
015650	4091999	
014140	0031336	
014310	4354604	
