Course	Room	Teacher	Time	Students
002153	PK20	0428815	1	4176698 4093136 4091785 3915038 4095876 3956631 4282188 3904324 4092159 3988502 4252142 4001999 4193260 4090749 4094796 3883991 4095424 3789439 4280947 3891249 3937160 4093853 3994652 3901577 3915155 3584557 3579867 4280140 4278034 4075429 3560236 4081695 4229863 4095897 4132153 4174837 4093806 4280693 4002075 3921208 4096706 4157786 4278484 3931946 4174617 3936726 4278360 4280526 4176624 4002909 4174889 4001588 3995802 3901731 3968696 3822201 4280648 4180434 4279649 3970633 3915099 4155489 4093612 4175771 4007305 3915711 4181243 4281892 4096262 4003319 4280907 4003168 4086083 4281868 
014569	PK20	0409956	2	4093315 3875914 4002204 4151426 3915038 4043326 4260945 4231518 4282188 3910347 3904320 4181031 4252142 4094640 4084615 4090749 4280947 4278502 3937160 3994652 4127014 3852207 3915155 3910582 4269602 4161057 4129668 4229863 4164342 4096964 4153748 3910479 4280174 4174837 3903896 4093806 4093255 4280693 4277924 4157786 3931946 4181143 3913768 4041708 4280526 4176624 4278465 4174889 3881459 4280153 4158492 4150362 4096738 4155489 4093612 4169561 4175771 4170423 3910700 4278355 4281409 4134616 4093409 4003319 4279708 3941070 3789806 4280849 4281868 
002161	PK20	3926209	3	4093315 3913671 3539996 3902196 3799593 3989696 4278502 3907037 4095083 3823391 4002094 3913863 3911054 3845742 3858042 3869959 3822778 3928589 3910587 3816108 4041708 3910848 4003188 4014851 3902911 3854723 4000366 3964186 3930817 4086277 3902905 3789493 3929235 3890005 3915040 4170299 3899772 4280706 3906818 3931666 4015108 4174206 3576379 3823307 
006026	PK20	0972342	4	4086413 4146462 4148521 4140278 3790792 4000862 4126536 4034558 3843290 4175454 4279855 3930302 4165491 3725997 3652353 3691794 4176082 4175513 3852207 3905871 4003131 4269602 3914822 4278521 4372212 4371979 4152983 3929419 4371972 4175485 4096964 3821097 3931962 4372068 3768588 4372070 4086335 4181152 3930168 3930162 4086320 4097054 4086476 3695145 4175369 4372017 4086317 3913807 4000367 4175373 3768620 4280648 3920668 3930544 4150774 4279649 3722926 3818227 4000229 4000795 4095004 4280475 3930731 4169561 4170423 4003534 4176818 3915040 4281409 4095243 4175540 4096913 4170322 4175436 3969851 3906818 4371999 3785953 3823307 
006031	PK20	3839982	5	4044087 4277662 4175528 4232308 3987067 4371037 3970539 3902196 4175534 4175535 4280138 4151626 4143476 4086619 4094640 3881597 4140259 3902439 4091439 4280941 4280946 4092633 4176463 4193252 4175519 3931686 4233573 4280375 3975962 3936964 4279920 4073784 4175494 4095088 4373610 3759092 4127521 3910652 4165503 4095703 3808480 4372246 4093806 4092819 3983482 4043543 4094965 4086257 4278489 4278484 4278447 4174768 4086269 3910848 4280524 3932941 4150362 3910547 4281934 3650239 3974846 3848415 3820378 4175300 3821008 4280653 4175313 3821016 4093970 4277951 4170299 4093159 4175326 4281093 4003168 3931881 
001152	PK20	4354559	6	4146462 3991180 4277844 4277525 4093126 3851827 3978317 4254672 4091510 3989696 4003389 4181031 4125081 4094796 4158080 3997010 4096749 4181991 4176721 4037591 4152351 4280140 4278034 4169489 4276256 4152983 4277782 4081695 4093026 3997576 4181151 4181152 4092251 3759127 4371918 4281002 4279995 3759337 4278481 4091672 4282008 4041708 4278360 4281294 3902911 4062513 4276567 4181049 4038907 3881459 3797266 3931449 4278573 4280889 3932089 4275712 4175304 4093611 4155489 4282720 4003534 4280913 3959570 4164263 3921659 3899772 4278720 4279708 4280050 
006024	PK20	3839982	7	4176699 4151426 4091782 4175456 3894530 4180395 3978317 4254672 4282188 4175448 4278528 4280622 4279624 4092335 3976675 4176789 4175292 3964713 4371958 4175354 4280140 4278034 4372054 4003434 3823391 4277782 4193341 4170444 4023438 4132153 4372246 4003642 4276333 4278491 3921208 3948045 4174776 4157786 3905830 4181143 4174617 3936726 4280525 4278618 4152941 4174889 4180953 4372026 4091805 4175418 4280898 4280658 4175771 4278351 4176781 4134616 4175541 4281892 3995568 4175333 4281869 4278394 3844962 
016926	PK20	4172051	8	4282999 3929575 3816992 4232308 4175458 4095445 4090814 3995719 4276031 4000249 3999899 4091767 4096358 3905623 3910321 4175358 3852217 3937982 4279035 4279329 4096769 4152767 3913437 3817087 3910645 3561430 4072230 4094965 3790928 4277523 3792443 4000998 4091672 4170477 4278366 3781152 3843810 4175371 3893220 3821589 3819372 3817379 4263456 4000420 4096738 4093165 3929165 4070957 3820958 3850568 4096266 3693891 3988063 4093119 3910765 4280607 4087228 
002368	PK20	0697660	9	4091784 4371037 4094012 3910740 4278528 3953266 4258417 4372200 4095425 4280946 4093324 4372210 4371959 4003130 3913781 4279920 4175386 3937982 4372052 4076454 4371975 3915267 3910495 4170444 4044003 3949783 4140702 4282115 3995827 4175344 4278991 3861339 4181151 4176023 3910584 4243051 4086474 4278366 4086315 4176624 3905822 4278618 3756293 4281934 4000795 4175303 4174366 4280475 3930485 4236548 4175408 4281628 4176818 4281391 4175551 4371991 4278394 
015114	PK20	0820103	10	3914515 4256032 3796148 4043326 4001431 3871572 3969305 3910347 3910529 3821059 3905189 4090975 4084615 4175509 4175500 3790244 3930865 4086376 4176465 3820587 4277251 4096983 4023528 3929739 3817260 3929894 3905868 3704166 3910624 3910644 4003415 4093255 4181151 4043549 4086253 3611135 3819613 3883637 4095133 4280078 3929235 4094813 4091895 3930831 3910567 3904411 4096913 4000336 3910718 3818676 3839352 3910502 
